Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786414726,50,,Aggregated,5.000000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,307,3,17000,15928.104735504905,6314.010999999937,26437.02179999991,644.1237785016286
1786414727,50,,Aggregated,5.000000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,307,3,17000,15928.104735504905,6314.010999999937,26437.02179999991,644.1237785016286
1786414728,50,,Aggregated,0.000000,0.000000,17000,18000,18000,19000,21000,22000,22000,23000,26000,26000,26000,316,3,17000,15914.485013924068,6314.010999999937,26437.02179999991,644.2215189873418
1786414729,50,,Aggregated,0.000000,0.000000,17000,18000,18000,19000,21000,22000,22000,23000,26000,26000,26000,317,4,17000,15927.252320820207,6314.010999999937,26437.02179999991,642.3028391167193
1786414730,50,,Aggregated,0.000000,0.000000,17000,18000,18000,19000,21000,22000,22000,23000,26000,26000,26000,317,4,17000,15927.252320820207,6314.010999999937,26437.02179999991,642.3028391167193
1786414731,50,,Aggregated,0.900000,0.000000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,355,4,17000,16103.665896619734,6314.010999999937,26437.02179999991,643.0591549295775
1786414732,50,,Aggregated,0.900000,0.000000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,355,4,17000,16103.665896619734,6314.010999999937,26437.02179999991,643.0591549295775
1786414733,50,,Aggregated,0.900000,0.000000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,355,4,17000,16103.665896619734,6314.010999999937,26437.02179999991,643.0591549295775
1786414734,50,,Aggregated,0.900000,0.000000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,355,4,17000,16103.665896619734,6314.010999999937,26437.02179999991,643.0591549295775
1786414735,50,,Aggregated,0.900000,0.000000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,355,4,17000,16103.665896619734,6314.010999999937,26437.02179999991,643.0591549295775
1786414736,50,,Aggregated,0.900000,0.000000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,355,4,17000,16103.665896619734,6314.010999999937,26437.02179999991,643.0591549295775
1786414737,50,,Aggregated,4.800000,0.100000,17000,18000,18000,19000,21000,22000,22000,23000,26000,26000,26000,363,4,17000,15952.634435261718,6314.010999999937,26437.02179999991,643.1129476584022
1786414738,50,,Aggregated,4.800000,0.100000,17000,18000,18000,19000,21000,22000,22000,23000,26000,26000,26000,363,4,17000,15952.634435261718,6314.010999999937,26437.02179999991,643.1129476584022
